ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 249;omp-cloverleaf;advec_mom.cpp:88-88;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.4];Innermost;0.19999998807907;0.18125864863396;0.71418607234955;1.00;1.00;1.00;1.19;1;100.00;100.00;9.50;9.50;9.50;9.50;8.00
Loop 298;omp-cloverleaf;generate_chunk.cpp:77-80;generate_chunk(int, global_variables&) [clone ._omp_fn.0];Innermost;0.054999999701977;0.050349626690149;0.1983850300312;1.00;1.00;1.00;16.00;1;50.00;62.50;16.00;16.00;16.00;16.00;1.00
Loop 302;omp-cloverleaf;generate_chunk.cpp:91-98,context.h:46-46,context.h:69-69;generate_chunk(int, global_variables&) [clone ._omp_fn.1];Innermost;0.08500000089407;0.045314662158489;0.17854651808739;2.24;1.00;4.00;5.91;25;0.00;25.00;65.00;29.00;65.00;16.25;11.00
Loop 312;omp-cloverleaf;initialise_chunk.cpp:80-82;initialise_chunk(int, global_variables&) [clone ._omp_fn.4];Innermost;0.044999998062849;0.036503478884697;0.14382913708687;1.00;1.00;1.00;24.00;1;80.00;85.00;24.00;24.00;24.00;24.00;1.00
Loop 215;omp-cloverleaf;accelerate.cpp:42-53,context.h:69-69;accelerate_kernel(int, int, int, int, double, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.0];Outermost;0.0099999997764826;0.0050349626690149;0.019838502630591;3.32;1.73;5.25;4.60;8;33.56;32.55;119.50;36.00;69.00;22.75;26.00
Loop 305;omp-cloverleaf;ideal_gas.cpp:37-41,ideal_gas.cpp:44-45,context.h:69-69;ideal_gas_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.0];Outermost;0.0099999997764826;0.0037762217689306;0.014878876507282;1.00;1.07;1.07;1.00;32;63.77;63.59;68.00 - 80.00;68.00 - 80.00;63.75 - 75.00;63.75 - 75.00;68.00 - 80.00
Loop 244;omp-cloverleaf;advec_mom.cpp:73-75,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.3];Outermost;0.0049999998882413;0.0037762217689306;0.014878876507282;2.26;1.01;1.16;3.98;64;62.12;65.72;45.75;20.25;45.24;39.59;11.50
Loop 294;omp-cloverleaf;flux_calc.cpp:38-40,context.h:69-69;flux_calc_kernel(int, int, int, int, double, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.0];Outermost;0.0099999997764826;0.0025174813345075;0.0099192513152957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 256;omp-cloverleaf;advec_mom.cpp:220-221,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.11];Outermost;0.0049999998882413;0.0025174813345075;0.0099192513152957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 254;omp-cloverleaf;advec_mom.cpp:159-160,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.8];Outermost;0.0049999998882413;0.0025174813345075;0.0099192513152957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 252;omp-cloverleaf;advec_mom.cpp:169-172,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.9];Outermost;0.0049999998882413;0.0025174813345075;0.0099192513152957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 250;omp-cloverleaf;advec_mom.cpp:148-149,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.7];Outermost;0.0049999998882413;0.0025174813345075;0.0099192513152957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
